dimacs-analyzer,dimacs-analyzer-time,dimacs-file,iteration,model-satisfiable
sat-competition/02-zchaff,265387835,kmax/linux/v6.7[x86].dimacs,5,true
sat-competition/03-Forklift,57721155,kconfigreader/linux/v2.5.45[i386].dimacs,1,true
sat-competition/03-Forklift,68570305,kconfigreader/linux/v2.5.54[i386].dimacs,1,true
sat-competition/03-Forklift,93401514,kconfigreader/linux/v2.6.1[i386].dimacs,1,true
sat-competition/03-Forklift,147736800,kconfigreader/linux/v2.6.11[i386].dimacs,1,true
sat-competition/03-Forklift,145910189,kconfigreader/linux/v2.6.15[i386].dimacs,1,true
sat-competition/03-Forklift,259146202,kconfigreader/linux/v2.6.20[i386].dimacs,1,true
sat-competition/03-Forklift,327308967,kconfigreader/linux/v2.6.24[x86].dimacs,1,true
sat-competition/03-Forklift,393763906,kconfigreader/linux/v2.6.29[x86].dimacs,1,true
sat-competition/03-Forklift,98702081,kconfigreader/linux/v2.6.33[x86].dimacs,1,true
sat-competition/03-Forklift,110581391,kconfigreader/linux/v2.6.37[x86].dimacs,1,true
sat-competition/03-Forklift,114300893,kconfigreader/linux/v3.2[x86].dimacs,1,true
sat-competition/03-Forklift,131771428,kconfigreader/linux/v3.8[x86].dimacs,1,true
sat-competition/03-Forklift,180246708,kconfigreader/linux/v3.13[x86].dimacs,1,true
sat-competition/03-Forklift,188939830,kconfigreader/linux/v3.19[x86].dimacs,1,true
sat-competition/03-Forklift,205539886,kconfigreader/linux/v4.4[x86].dimacs,1,true
sat-competition/03-Forklift,285457701,kconfigreader/linux/v4.10[x86].dimacs,1,true
sat-competition/03-Forklift,412668604,kconfigreader/linux/v4.15[x86].dimacs,1,true
sat-competition/03-Forklift,344354427,kconfigreader/linux/v5.0[x86].dimacs,1,true
sat-competition/03-Forklift,408650616,kconfigreader/linux/v5.5[x86].dimacs,1,true
sat-competition/03-Forklift,306289212,kconfigreader/linux/v5.11[x86].dimacs,1,true
sat-competition/03-Forklift,359350294,kconfigreader/linux/v5.16[x86].dimacs,1,true
sat-competition/03-Forklift,437389666,kconfigreader/linux/v6.2[x86].dimacs,1,true
sat-competition/03-Forklift,471977344,kconfigreader/linux/v6.7[x86].dimacs,1,true
sat-competition/03-Forklift,44714507,kmax/linux/v2.5.45[i386].dimacs,1,true
sat-competition/03-Forklift,41478756,kmax/linux/v2.5.54[i386].dimacs,1,true
sat-competition/03-Forklift,62922990,kmax/linux/v2.6.1[i386].dimacs,1,true
sat-competition/03-Forklift,95387744,kmax/linux/v2.6.11[i386].dimacs,1,true
sat-competition/03-Forklift,111065306,kmax/linux/v2.6.15[i386].dimacs,1,true
sat-competition/03-Forklift,178228734,kmax/linux/v2.6.20[i386].dimacs,1,true
sat-competition/03-Forklift,285221703,kmax/linux/v2.6.24[x86].dimacs,1,true
sat-competition/03-Forklift,482231155,kmax/linux/v2.6.29[x86].dimacs,1,true
sat-competition/03-Forklift,823589072,kmax/linux/v2.6.33[x86].dimacs,1,true
sat-competition/03-Forklift,2011788051,kmax/linux/v2.6.37[x86].dimacs,1,true
sat-competition/03-Forklift,59095784,kmax/linux/v3.2[x86].dimacs,1,true
sat-competition/03-Forklift,68699548,kmax/linux/v3.8[x86].dimacs,1,true
sat-competition/03-Forklift,71095143,kmax/linux/v3.13[x86].dimacs,1,true
sat-competition/03-Forklift,104413858,kmax/linux/v3.19[x86].dimacs,1,true
sat-competition/03-Forklift,115826703,kmax/linux/v4.4[x86].dimacs,1,true
sat-competition/03-Forklift,99604823,kmax/linux/v4.10[x86].dimacs,1,true
sat-competition/03-Forklift,123482806,kmax/linux/v4.15[x86].dimacs,1,true
sat-competition/03-Forklift,159288299,kmax/linux/v5.0[x86].dimacs,1,true
sat-competition/03-Forklift,147476248,kmax/linux/v5.5[x86].dimacs,1,true
sat-competition/03-Forklift,154217078,kmax/linux/v5.11[x86].dimacs,1,true
sat-competition/03-Forklift,155245755,kmax/linux/v5.16[x86].dimacs,1,true
sat-competition/03-Forklift,187203874,kmax/linux/v6.2[x86].dimacs,1,true
sat-competition/03-Forklift,190246882,kmax/linux/v6.7[x86].dimacs,1,true
sat-competition/03-Forklift,54951267,kconfigreader/linux/v2.5.45[i386].dimacs,2,true
sat-competition/03-Forklift,66295626,kconfigreader/linux/v2.5.54[i386].dimacs,2,true
sat-competition/03-Forklift,92990996,kconfigreader/linux/v2.6.1[i386].dimacs,2,true
sat-competition/03-Forklift,138040817,kconfigreader/linux/v2.6.11[i386].dimacs,2,true
sat-competition/03-Forklift,156207215,kconfigreader/linux/v2.6.15[i386].dimacs,2,true
sat-competition/03-Forklift,266620934,kconfigreader/linux/v2.6.20[i386].dimacs,2,true
sat-competition/03-Forklift,332528418,kconfigreader/linux/v2.6.24[x86].dimacs,2,true
sat-competition/03-Forklift,379363188,kconfigreader/linux/v2.6.29[x86].dimacs,2,true
sat-competition/03-Forklift,89187851,kconfigreader/linux/v2.6.33[x86].dimacs,2,true
sat-competition/03-Forklift,121619457,kconfigreader/linux/v2.6.37[x86].dimacs,2,true
sat-competition/03-Forklift,111977755,kconfigreader/linux/v3.2[x86].dimacs,2,true
sat-competition/03-Forklift,111229609,kconfigreader/linux/v3.8[x86].dimacs,2,true
sat-competition/03-Forklift,148932073,kconfigreader/linux/v3.13[x86].dimacs,2,true
sat-competition/03-Forklift,160763786,kconfigreader/linux/v3.19[x86].dimacs,2,true
sat-competition/03-Forklift,176468717,kconfigreader/linux/v4.4[x86].dimacs,2,true
sat-competition/03-Forklift,236507397,kconfigreader/linux/v4.10[x86].dimacs,2,true
sat-competition/03-Forklift,392563394,kconfigreader/linux/v4.15[x86].dimacs,2,true
sat-competition/03-Forklift,339311333,kconfigreader/linux/v5.0[x86].dimacs,2,true
sat-competition/03-Forklift,374170771,kconfigreader/linux/v5.5[x86].dimacs,2,true
sat-competition/03-Forklift,299538036,kconfigreader/linux/v5.11[x86].dimacs,2,true
sat-competition/03-Forklift,309221681,kconfigreader/linux/v5.16[x86].dimacs,2,true
sat-competition/03-Forklift,397994721,kconfigreader/linux/v6.2[x86].dimacs,2,true
sat-competition/03-Forklift,423383667,kconfigreader/linux/v6.7[x86].dimacs,2,true
sat-competition/03-Forklift,44549276,kmax/linux/v2.5.45[i386].dimacs,2,true
sat-competition/03-Forklift,39838162,kmax/linux/v2.5.54[i386].dimacs,2,true
sat-competition/03-Forklift,61475427,kmax/linux/v2.6.1[i386].dimacs,2,true
sat-competition/03-Forklift,97276892,kmax/linux/v2.6.11[i386].dimacs,2,true
sat-competition/03-Forklift,114115850,kmax/linux/v2.6.15[i386].dimacs,2,true
sat-competition/03-Forklift,176386934,kmax/linux/v2.6.20[i386].dimacs,2,true
sat-competition/03-Forklift,300273327,kmax/linux/v2.6.24[x86].dimacs,2,true
sat-competition/03-Forklift,485143851,kmax/linux/v2.6.29[x86].dimacs,2,true
sat-competition/03-Forklift,830254555,kmax/linux/v2.6.33[x86].dimacs,2,true
sat-competition/03-Forklift,1856668306,kmax/linux/v2.6.37[x86].dimacs,2,true
sat-competition/03-Forklift,58758278,kmax/linux/v3.2[x86].dimacs,2,true
sat-competition/03-Forklift,70550799,kmax/linux/v3.8[x86].dimacs,2,true
sat-competition/03-Forklift,68628395,kmax/linux/v3.13[x86].dimacs,2,true
sat-competition/03-Forklift,80696028,kmax/linux/v3.19[x86].dimacs,2,true
sat-competition/03-Forklift,108804816,kmax/linux/v4.4[x86].dimacs,2,true
sat-competition/03-Forklift,92381381,kmax/linux/v4.10[x86].dimacs,2,true
sat-competition/03-Forklift,112210357,kmax/linux/v4.15[x86].dimacs,2,true
sat-competition/03-Forklift,129724681,kmax/linux/v5.0[x86].dimacs,2,true
